"County","Zone","county_fips"
"Adams",8,55001
"Ashland",2,55003
"Barron",4,55005
"Bayfield",1,55007
"Brown",6,55009
"Buffalo",7,55011
"Burnett",4,55013
"Calumet",6,55015
"Chippewa",4,55017
"Clark",5,55019
"Columbia",10,55021
"Crawford",9,55023
"Dane",10,55025
"Dodge",10,55027
"Door",6,55029
"Douglas",1,55031
"Dunn",7,55033
"Eau Claire",7,55035
"Florence",3,55037
"Fond du Lac",6,55039
"Forest",3,55041
"Grant",9,55043
"Green",10,55045
"Green Lake",8,55047
"Iowa",9,55049
"Iron",2,55051
"Jackson",7,55053
"Jefferson",10,55055
"Juneau",8,55057
"Kenosha",11,55059
"Kewaunee",6,55061
"La Crosse",7,55063
"Lafayette",9,55065
"Langlade",3,55067
"Lincoln",5,55069
"Manitowoc",6,55071
"Marathon",5,55073
"Marinette",3,55075
"Marquette",8,55077
"Menominee",3,55078
"Milwaukee",11,55079
"Monroe",7,55081
"Oconto",3,55083
"Oneida",2,55085
"Outagamie",6,55087
"Ozaukee",11,55089
"Pepin",7,55091
"Pierce",7,55093
"Polk",4,55095
"Portage",8,55097
"Price",2,55099
"Racine",11,55101
"Richland",9,55103
"Rock",10,55105
"Rusk",4,55107
"St. Croix",7,55109
"Sauk",9,55111
"Sawyer",4,55113
"Shawano",3,55115
"Sheboygan",6,55117
"Taylor",5,55119
"Trempealeau",7,55121
"Vernon",9,55123
"Vilas",2,55125
"Walworth",11,55127
"Washburn",4,55129
"Washington",11,55131
"Waukesha",11,55133
"Waupaca",8,55135
"Waushara",8,55137
"Winnebago",6,55139
"Wood",8,55141
